student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
S291,11.0,5.4,91.6,89,33.4
S292,6.4,6.9,89.1,57,49.2
S293,5.4,6.9,50.5,44,34.1
S294,4.7,5.4,70.1,50,19.5
S295,9.6,7.2,75.5,40,49.7
S296,9.0,5.2,61.5,83,38.5
S297,6.7,4.1,80.5,73,33.7
S298,7.9,8.3,93.9,61,23.2
S299,5.1,8.0,83.2,91,25.4
S300,11.4,4.5,79.8,41,47.6
S301,12.0,4.8,72.4,75,28.2
S302,7.4,6.4,84.9,92,18.6
S303,9.0,7.1,93.0,59,18.8
S304,3.4,5.0,74.1,51,43.5
S305,6.3,5.5,96.3,94,50.9
S306,5.7,6.9,69.9,58,35.5
S307,10.5,4.1,79.9,48,18.2
S308,6.8,5.3,55.7,49,28.4
S309,7.7,6.5,88.1,84,36.3
S310,8.4,5.8,86.8,77,29.8
S311,4.9,4.0,81.0,93,51.9
S312,2.9,8.0,96.7,68,36.2
S313,9.5,4.9,71.9,89,18.9
S314,1.2,7.8,84.1,79,37.1
S315,9.0,4.1,69.7,49,43.4
S316,3.8,5.2,96.3,46,48.5
S317,1.2,4.2,81.3,64,34.8
S318,1.1,5.6,55.3,93,38.1
S319,8.3,7.6,72.8,81,39.1
S320,11.4,7.7,98.5,43,28.8
S321,8.2,7.5,75.8,61,24.5
S322,8.0,8.1,90.5,64,20.6
S323,9.1,7.2,92.5,48,36.1
S324,11.9,6.4,54.6,74,39.5
S325,4.6,4.4,93.0,73,18.9
S326,6.8,5.3,93.8,47,34.5
S327,9.6,4.8,79.6,49,41.5
S328,5.8,8.7,70.4,68,20.9
S329,7.5,5.2,75.7,84,24.0
S330,11.3,5.0,93.8,65,40.4
S331,7.7,7.4,70.4,73,37.8
S332,7.0,5.7,62.5,55,30.6
S333,11.2,4.5,79.4,43,44.6
S334,8.1,7.6,92.4,82,35.2
S335,5.6,6.3,68.1,52,43.1
S336,2.0,4.6,59.8,60,26.9
S337,7.0,6.5,57.8,82,20.1
S338,7.9,7.0,95.1,93,40.0
S339,7.3,4.3,58.9,77,35.9
S340,2.8,6.8,64.3,84,21.8
S341,1.1,8.2,54.2,53,20.5
S342,11.0,6.8,91.3,47,31.6
S343,5.5,4.5,53.2,55,46.8
S344,1.7,6.2,99.7,79,44.5
S345,2.6,5.9,80.6,51,32.5
S346,2.9,6.7,54.1,73,26.1
S347,11.5,5.6,79.2,93,19.0
S348,3.9,8.6,93.4,94,39.6
S349,5.8,6.1,57.5,90,48.1
S350,10.5,5.4,52.5,54,42.4
S351,3.8,6.5,88.1,65,34.1
S352,9.8,5.8,69.6,92,25.4
S353,4.3,8.1,94.9,80,33.1
S354,9.5,8.4,67.9,77,49.4
S355,8.2,4.6,62.5,47,43.3
S356,6.9,7.0,82.4,59,24.9
S357,1.5,6.7,83.1,91,49.0
S358,5.6,5.8,95.0,68,33.9
S359,1.5,6.2,56.6,88,46.1
S360,11.3,6.9,98.1,78,29.3
S361,2.9,8.7,56.9,61,42.0
S362,8.9,4.6,86.2,47,18.8
S363,1.1,5.8,89.0,43,18.3
S364,8.4,4.6,64.4,95,25.8
S365,4.1,4.9,65.4,88,38.8
S366,9.6,8.7,81.2,79,31.6
S367,7.1,6.5,69.3,54,40.9
S368,6.8,4.1,84.1,74,33.1
S369,7.3,7.6,74.0,46,24.5
S370,3.6,5.5,81.7,46,21.1
S371,6.7,8.3,99.9,57,42.3
S372,7.5,6.5,82.7,74,38.1
S373,11.0,5.5,56.6,53,24.0
S374,6.0,4.9,73.2,57,42.0
S375,2.0,5.1,59.0,70,46.3
S376,9.6,8.2,94.3,91,30.7
S377,5.9,4.2,73.1,68,18.2
S378,2.0,6.2,83.7,85,42.1
S379,5.2,5.6,53.2,47,18.2
S380,8.7,5.1,84.2,88,37.4
S381,9.6,8.8,86.2,74,36.9
S382,3.0,5.2,82.3,80,33.1
S383,3.8,7.0,84.6,89,50.6
S384,7.3,8.6,59.3,81,30.1
S385,6.5,8.7,60.5,78,36.6
S386,8.2,6.8,92.1,60,22.6
S387,10.2,5.3,88.4,84,27.4
S388,1.2,4.9,78.6,83,23.9
S389,3.6,4.4,79.8,45,40.4
S390,11.9,5.7,85.0,63,39.3
S391,6.0,8.4,50.8,90,28.5
S392,8.2,5.7,56.2,64,22.2
S393,9.0,4.2,50.0,87,36.2
S394,5.1,7.1,77.1,72,51.6
S395,4.1,4.9,61.8,55,21.0
S396,8.7,6.0,66.1,89,46.3
S397,6.0,4.7,96.9,49,50.9
S398,1.9,6.6,59.4,49,20.7
S399,3.1,8.6,78.0,44,38.6
S400,7.0,6.8,54.2,92,32.1
S401,11.1,5.4,70.4,69,21.8
S402,3.0,4.6,56.1,82,51.7
S403,6.1,5.6,88.9,67,23.8
S404,5.9,7.5,94.1,60,37.8
S405,3.9,8.0,85.3,44,25.1
S406,2.0,8.8,61.3,82,26.5
S407,5.6,6.7,95.3,90,49.4
S408,6.4,8.7,87.1,70,23.7
S409,10.2,4.6,88.9,48,47.5
S410,2.7,5.2,51.1,52,30.1
S411,2.6,6.9,97.1,48,39.4
S412,4.2,8.1,51.4,57,19.5
S413,5.9,4.4,60.5,86,47.4
S414,3.2,6.9,78.0,53,28.3
S415,2.9,5.7,93.8,89,47.9
S416,4.9,6.6,67.1,55,30.2
S417,11.7,6.7,60.0,77,20.3
S418,11.8,5.2,88.6,40,26.3
S419,7.2,6.7,69.9,66,35.5
S420,2.0,6.9,64.5,86,38.2
S421,2.9,4.6,88.1,52,29.0
S422,3.0,7.5,54.6,95,22.0
S423,8.6,7.2,97.1,82,32.4
S424,7.0,4.2,54.2,85,28.4
S425,2.8,8.9,78.9,83,19.7
S426,10.4,4.6,86.9,54,24.2
S427,6.6,7.9,50.4,43,26.7
S428,8.6,4.9,86.4,80,21.6
S429,6.2,7.0,64.4,94,46.5
S430,6.7,6.4,53.2,52,41.5
S431,8.3,5.6,75.9,70,38.4
S432,6.5,6.2,81.4,60,29.0
S433,11.6,6.8,85.5,61,27.6
S434,1.5,7.5,93.4,64,19.5
S435,10.9,4.2,85.7,92,35.3
S436,11.7,6.2,72.4,69,43.9
S437,11.0,6.5,58.5,42,35.4
S438,3.1,4.8,87.9,78,51.9
S439,6.4,5.5,79.8,86,24.0
S440,8.9,4.8,53.9,95,27.9
S441,8.8,8.3,93.6,66,39.9
S442,4.0,6.6,66.6,90,49.8
S443,11.4,6.6,78.3,44,43.8
S444,10.7,5.3,68.3,41,33.5
S445,1.7,8.9,70.9,79,34.1
S446,3.6,7.9,67.0,41,18.7
S447,2.5,5.2,82.3,94,25.7
S448,5.7,6.7,85.4,61,46.6
S449,3.3,7.7,73.4,82,47.0
S450,9.0,6.2,63.2,57,22.8
S451,5.0,8.7,78.1,91,25.7
S452,1.3,7.2,94.4,42,41.1
S453,5.4,7.9,51.0,81,38.0
S454,7.8,8.6,90.1,62,26.1
S455,5.8,5.1,90.2,65,38.6
S456,7.4,7.9,53.9,59,35.6
S457,4.7,6.3,73.7,56,22.7
S458,9.1,6.9,87.5,63,43.3
S459,2.1,7.3,95.6,90,26.2
S460,1.4,7.8,59.8,49,26.6
S461,6.4,4.2,97.7,47,22.8
S462,5.3,4.6,60.1,41,35.7
S463,1.6,4.5,86.8,62,37.2
S464,8.7,4.6,80.3,40,45.0
S465,10.3,8.2,92.3,69,48.3
S466,5.4,7.2,67.5,42,32.6
S467,4.2,7.2,82.6,51,26.1
S468,2.3,7.7,80.0,70,43.5
S469,7.7,5.6,81.5,66,39.8
S470,4.2,6.9,51.6,46,46.2
S471,10.6,7.8,75.8,64,47.7
S472,7.8,8.6,64.7,73,25.1
S473,1.9,6.2,54.3,82,29.2
S474,10.2,8.7,73.9,52,22.0
S475,4.1,4.2,77.9,91,27.9
S476,3.2,6.7,78.8,61,27.5
S477,8.1,8.5,74.4,47,37.9
S478,4.7,8.4,91.8,49,30.2
S479,4.1,8.9,95.4,70,32.2
S480,9.7,6.5,61.5,49,39.7
S481,3.3,8.8,57.0,93,37.1
S482,5.8,4.6,76.3,72,33.4
S483,11.7,7.0,67.4,86,48.5
S484,4.6,7.4,76.0,95,34.7
S485,7.3,4.6,56.4,71,35.3
S486,8.6,5.4,59.6,85,42.4
S487,2.2,8.8,57.6,42,51.0
S488,10.5,7.1,97.1,54,48.1
S489,8.7,6.8,64.0,62,29.3
S490,8.6,9.0,78.5,81,19.5
S491,6.3,8.0,51.6,91,21.5
S492,1.7,5.6,68.5,91,46.3
S493,3.5,8.0,55.0,65,21.1
S494,10.3,5.7,88.3,84,44.2
S495,7.7,5.9,81.1,73,28.0
S496,8.3,8.9,63.1,73,47.2
S497,11.5,9.0,68.3,67,26.6
S498,8.1,6.2,52.9,67,41.0
S499,4.9,8.3,53.5,48,23.5
S500,9.1,6.3,68.0,87,34.5
S501,10.5,4.1,88.0,89,26.1
S502,9.0,7.6,59.9,58,26.6
S503,11.9,7.2,56.7,93,50.9
S504,6.2,4.0,53.4,42,25.5
S505,3.8,6.6,53.9,80,33.9
S506,6.0,5.2,75.3,83,37.7
S507,10.2,7.6,90.4,44,26.5
S508,4.0,6.2,62.0,41,20.8
S509,1.2,8.0,83.5,67,23.4
S510,6.0,7.7,99.3,83,46.6
S511,3.6,4.5,63.0,41,43.3
S512,1.3,7.0,94.2,59,26.5
S513,6.3,8.1,93.8,83,34.5
S514,8.1,5.6,97.9,80,19.0
S515,9.9,7.9,87.4,65,37.4
S516,6.8,8.4,74.7,72,38.2
S517,9.6,5.1,52.4,61,42.5
S518,6.9,7.2,64.3,71,19.3
S519,11.7,5.4,56.0,72,36.4
S520,7.2,6.4,85.9,64,41.2
S521,8.8,5.2,56.9,78,18.0
S522,6.0,6.7,79.8,81,29.6
S523,5.5,6.1,77.9,68,35.1
S524,1.6,7.0,73.5,80,38.3
S525,3.1,7.5,67.8,63,25.8
S526,4.6,5.2,97.9,53,26.2
S527,9.2,5.5,91.8,60,25.5
S528,11.3,7.2,58.8,61,27.3
S529,3.8,5.7,98.7,81,22.8
S530,10.5,5.4,97.4,83,44.1
S531,8.1,6.4,80.5,79,40.9
S532,8.4,7.8,67.9,57,33.4
S533,9.4,6.1,71.8,58,33.7
S534,7.1,8.3,93.8,49,39.5
S535,3.9,6.4,68.4,71,20.3
S536,1.0,6.7,97.9,94,32.8
S537,11.8,8.7,77.7,77,25.7
S538,2.8,7.7,64.3,52,42.3
S539,10.3,8.3,97.5,87,24.2
S540,5.6,5.9,60.8,54,29.2
S541,9.0,4.2,96.9,79,20.3
S542,9.9,7.7,51.8,87,42.9
S543,1.2,4.5,50.9,91,45.9
S544,1.4,5.8,86.7,68,33.5
S545,10.6,8.8,91.7,46,29.8
S546,4.3,7.2,58.0,50,22.2
S547,5.6,6.1,72.0,86,25.0
S548,12.0,4.9,75.2,70,50.5
S549,1.4,8.2,55.0,56,44.6
S550,11.0,6.2,58.8,53,19.8
S551,3.4,7.6,63.6,58,41.7
S552,6.2,7.3,72.8,75,46.4
S553,3.0,4.8,61.1,56,34.7
S554,5.4,4.1,73.8,90,46.6
S555,8.2,8.0,84.1,60,33.3
S556,7.7,8.3,65.9,56,40.2
S557,6.0,8.9,64.9,50,19.5
S558,1.7,6.2,83.5,94,43.8
S559,12.0,7.9,70.6,42,35.3
S560,5.2,7.9,93.4,81,21.8
S561,8.7,5.8,73.6,55,23.3
S562,1.3,6.1,88.9,77,27.9
S563,7.1,5.8,61.8,91,37.2
S564,5.3,5.5,100.0,88,37.6
S565,11.0,5.9,66.8,79,49.9
S566,3.5,7.3,97.3,46,26.7
S567,5.8,8.0,98.4,65,42.4
S568,4.0,8.9,78.3,83,45.7
S569,9.0,7.5,99.8,43,45.8
S570,6.1,6.0,66.5,87,32.7
S571,7.5,6.5,85.7,41,20.1
S572,5.6,4.8,68.1,60,22.4
S573,9.4,7.2,52.8,68,43.8
S574,7.3,7.7,51.2,46,27.8
S575,1.8,5.1,94.4,44,25.3
S576,4.2,4.3,89.6,89,25.8
S577,5.1,4.5,88.7,86,45.6
S578,9.8,4.4,58.9,76,30.2
S579,8.1,6.2,91.7,41,34.0
S580,7.2,6.4,81.7,91,49.3
S581,9.8,7.2,92.4,71,35.7
S582,6.1,6.5,87.7,43,18.5
S583,4.4,7.1,73.8,78,28.1
S584,9.4,8.2,97.8,48,42.4
S585,12.0,7.9,58.5,75,31.1
S586,10.4,7.6,52.5,66,32.4
S587,10.5,4.4,69.1,95,24.3
S588,5.5,7.9,56.3,40,40.1
S589,3.7,5.7,98.6,40,24.4
S590,8.5,7.8,98.3,54,50.5
S591,8.5,6.5,74.3,78,45.4
S592,11.7,5.5,68.7,52,20.7
S593,5.6,5.7,53.7,49,25.0
S594,10.6,8.3,57.9,50,36.8
S595,8.1,6.6,97.6,49,30.3
S596,10.3,4.7,59.8,55,31.0
S597,3.3,4.7,98.4,45,44.7
S598,2.9,6.2,66.9,93,44.3
S599,8.5,5.8,56.1,44,23.4
S600,3.9,8.2,67.1,67,51.2
S601,6.0,7.0,67.8,78,24.4
S602,1.3,5.8,50.4,69,42.8
S603,5.1,8.6,54.7,90,23.8
S604,5.0,7.6,62.2,66,38.8
S605,6.2,8.2,59.6,81,24.4
S606,3.7,4.3,71.8,71,40.4
S607,2.5,6.3,85.5,46,39.8
S608,7.3,4.7,75.0,56,21.2
S609,5.7,5.3,89.2,47,20.7
S610,7.5,5.1,87.2,62,42.3
S611,5.8,6.8,86.7,43,24.9
S612,6.6,6.8,59.8,47,19.5
S613,2.4,6.5,70.4,46,32.4
S614,4.9,5.6,55.2,86,23.7
S615,2.0,5.8,83.3,89,20.5
S616,4.8,4.8,62.6,88,24.7
S617,10.9,5.2,90.1,76,21.0
S618,10.4,7.4,60.8,76,38.1
S619,6.4,7.5,86.4,50,46.0
S620,2.0,7.1,93.7,70,30.0
S621,10.5,6.9,62.6,77,26.1
S622,5.0,5.2,56.9,49,50.2
S623,3.6,7.8,96.4,72,27.9
S624,2.1,7.1,59.4,93,18.5
S625,3.8,7.5,67.5,68,28.8
S626,2.7,6.8,97.9,62,30.7
S627,4.3,5.3,64.9,68,29.5
S628,4.0,6.7,62.4,41,43.1
S629,8.4,8.3,93.9,49,38.3
S630,5.1,6.8,62.9,74,37.9
S631,10.8,7.0,59.1,85,36.9
S632,7.6,4.8,98.8,62,51.9
S633,2.0,5.2,71.3,61,27.1
S634,10.6,6.2,88.5,89,48.0
S635,5.6,8.3,55.0,81,36.0
S636,5.6,5.9,81.3,92,20.3
S637,5.1,5.2,94.5,62,35.7
S638,3.2,7.2,73.9,60,21.3
S639,7.4,8.4,57.3,79,28.7
S640,2.1,7.3,66.4,84,47.1
S641,8.8,8.2,65.1,86,40.7
S642,9.0,8.5,83.7,79,39.7
S643,2.8,6.8,85.7,73,29.1
S644,9.9,6.1,54.9,47,49.8
S645,9.1,6.3,89.8,84,43.1
S646,5.3,6.7,75.1,64,41.9
S647,2.1,4.5,89.0,68,51.8
S648,5.3,7.6,73.6,64,46.1
S649,4.5,6.6,65.2,89,21.7
S650,5.6,4.7,68.6,42,36.5
S651,1.5,7.3,68.8,77,48.1
S652,6.7,5.0,62.1,43,39.5
S653,1.6,8.7,75.9,41,49.4
S654,10.4,4.9,65.2,50,42.2
S655,8.3,8.7,51.2,61,31.7
S656,3.9,7.4,62.3,75,46.4
S657,5.7,5.2,77.5,74,31.4
S658,10.1,5.7,96.3,70,42.0
S659,8.9,7.2,80.9,52,24.8
S660,5.1,5.5,91.7,73,32.3
S661,8.8,5.2,84.0,66,50.0
S662,11.4,7.0,60.9,78,45.0
S663,10.4,8.3,99.9,57,32.1
